Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
5731,0,11019,552,6309,1238,5269,1329,4391,1103,3396,810,3278,468,1335,0,960,101,WA-05
11210,89,20136,281,9987,1839,8620,1844,6960,4610,6414,1979,4375,90,2871,0,1057,0,WA-02
5313,358,14978,848,3915,612,6465,2538,5438,1044,5033,1196,3953,196,2176,0,1202,0,WA-06
,,,,,,,,,,,,,,,,,,WV-03
7236,45,18781,1118,7056,1579,5223,2489,5849,4908,6089,1988,5067,484,2614,193,516,0,WI-01
4513,358,12700,98,4726,752,5552,977,4691,1468,3844,1455,2974,46,2240,0,1206,0,WI-05
5937,17,14829,388,5606,1007,6719,1181,5346,2179,3050,2011,2292,862,497,186,474,124,WI-02
4678,1492,12683,2977,4810,2182,5450,3430,3795,2497,4984,1587,2574,898,2286,0,1201,0,WY-00
958,0,2191,29,991,477,1045,22,1407,55,905,281,482,0,71,0,613,0,PA-14
14082,339,29453,528,13308,2324,11990,3274,13198,2767,11082,978,8507,706,3452,0,1562,0,PA-06
1344,0,4143,396,2689,153,2381,282,1590,82,1068,160,1432,0,572,0,811,0,PA-12
3108,0,7122,191,1257,236,2515,67,2581,518,2192,518,1222,48,1088,0,825,0,MO-02
2596,353,4332,277,3111,433,4292,717,2548,973,2052,772,2024,387,603,66,156,0,MO-01
7830,1238,15318,3073,4895,2951,6690,3569,6964,3650,4746,2162,3768,1573,2121,159,1915,127,MO-05
9210,636,14864,905,6983,2520,5864,2992,4933,2229,4505,2752,2507,418,1843,0,674,0,NE-01
10596,713,19186,4064,5142,3433,6786,4152,6831,3855,5233,2840,2370,2210,1888,71,941,0,NE-02
